국적별(1),국적별(2),유학연수,기타
아시아주,소계,"45,204","60,905"
아시아주,중국,"22,250","13,454"
아시아주,일본,"2,702","1,318"
아시아주,대만,910,372
아시아주,홍콩,422,231
아시아주,마카오,24,7
아시아주,필리핀,206,"5,985"
아시아주,인도네시아,901,"4,305"
아시아주,태국,361,"3,377"
아시아주,베트남,"11,159","10,775"
아시아주,인도,428,"1,813"
아시아주,말레이시아,464,"1,510"
아시아주,싱가포르,224,"1,186"
아시아주,몽골,975,455
아시아주,우즈베키스탄,"1,491","2,496"
아시아주,미얀마,348,"2,208"
아시아주,GCC,98,171
아시아주,카자흐스탄,372,"1,055"
아시아주,튀르키예,147,925
아시아주,캄보디아,110,"2,157"
아시아주,스리랑카,76,"1,429"
아시아주,방글라데시,297,983
아시아주,파키스탄,281,503
아시아주,이스라엘,14,35
아시아주,이란,38,30
아시아주,아시아 기타,906,"4,125"
미주,소계,"2,315","16,478"
미주,미국,"1,610","13,017"
미주,캐나다,153,"2,817"
미주,브라질,115,232
미주,멕시코,183,189
미주,미주 기타,254,223
대양주,소계,112,"1,689"
대양주,오스트레일리아,90,"1,102"
대양주,뉴질랜드,19,578
대양주,대양주 기타,3,9
아프리카,소계,495,"1,709"
아프리카,남아프리카공화국,14,703
아프리카,아프리카 기타,481,"1,006"
